longitude,latitude,name,cumDistance,dfIndex,csvIndex
132.6327722,-14.6441328,"King River Rest 363
",363567.425587071,1808,1810
132.9739149,-14.8394315,"Rest Area 405
",408205.96373372,1966,1968
133.1148125,-15.2364524,"Warloch 457
",458100.767913851,2095,2097
133.2501959,-15.6246697,"Hospital No. 45 503
",504164.582042156,2154,2156
133.3930077,-15.8342701,"Maryfield Station 532
",533541.291133142,2223,2225
133.4043952,-15.8587511,"Alexander Ferrest 535
",536477.359530305,2229,2231
133.3909642,-16.2740454,"Daly Waters 584
",586181.960092557,2383,2385
133.4542956,-17.2570243,"Newcastle Creek 696
",699346.951927408,2557,2559
133.4392266,-17.3756783,"E20 712
",712662.09301419,2586,2588
133.7009485,-17.8903565,"TC 210 776
",777647.515698319,2691,2693
133.4225015,-16.9225205,"Todd Memorial 660
",661262.957900695,2517,2519
133.8583351,-18.4520416,"Cattle yards 843
",844448.88763766,2830,2832
133.7266526,-18.1962224,"Parking bay 815
",811978.848822496,2738,2740
133.7240777,-18.1529196,"70 before E 810
",807143.725049495,2724,2726
133.8718822,-18.494244,"Parking bay 858
",849398.717867126,2868,2870
134.0310249,-18.7918341,"Banka Banka 884
",886991.131302298,2944,2946
134.142598,-19.0250646,"Attack Creek 914
",916984.391384301,3030,3032
134.2032902,-19.4151971,"Parking bay 959
",961587.592626955,3146,3148
134.2462236,-20.4295767,"Bonney Well Parking 1074
",1077158.84638107,3394,3396
134.2088324,-19.9114746,"Parking Bay 1015
",1020454.93027846,3323,3325
134.2642162,-20.5674244,"Devils Marbles 1088
",1094288.87184221,3474,3476
134.1149521,-21.2472645,"Taylor Creek 1169
",1173546.88969844,3615,3617
134.207929,-20.9621867,"Ali Curing 1136
",1140344.2938864,3580,3582
133.4969516,-21.9602787,"Stuart Memorial 1278
",1281934.83581066,3837,3839
133.9436845,-21.4124698,"Parking not ideal 1192
",1199188.13363246,3634,3636
133.9848989,-21.3700467,"Geffories camp 1188
",1192746.03743293,3629,3631
133.3292805,-22.5315277,"Parking bay 1347
",1350012.72265603,3961,3963
133.7594455,-23.2067508,"Burt Creek 1435
",1438808.92351128,4066,4068
133.8326249,-23.4419601,"Tropic of capricorn 1462
",1466085.12609115,4108,4110
133.6916326,-23.122333,"Bay 1427
",1427082.92867178,4040,4042
